Function,Device,Control
,ThrustMasterWarthogJoystick,Joy_6
,ThrustMasterWarthogJoystick,Joy_6
,ThrustMasterWarthogJoystick,Joy_6
,ThrustMasterWarthogJoystick,Joy_6
,ThrustMasterWarthogJoystick,Joy_6
HeadLookToggle,ThrustMasterWarthogThrottle,Joy_1
,ThrustMasterWarthogThrottle,Joy_1
HeadLookToggle_Buggy,ThrustMasterWarthogThrottle,Joy_1
,ThrustMasterWarthogThrottle,Joy_1
,ThrustMasterWarthogThrottle,Joy_1
CycleNextSubsystem,ThrustMasterWarthogThrottle,Joy_11
,ThrustMasterWarthogThrottle,Joy_11
,ThrustMasterWarthogThrottle,Joy_11
,ThrustMasterWarthogThrottle,Joy_11
,ThrustMasterWarthogThrottle,Joy_11
CyclePreviousSubsystem,ThrustMasterWarthogThrottle,Joy_12
,ThrustMasterWarthogThrottle,Joy_12
,ThrustMasterWarthogThrottle,Joy_12
,ThrustMasterWarthogThrottle,Joy_12
,ThrustMasterWarthogThrottle,Joy_12
ShipSpotLightToggle,ThrustMasterWarthogThrottle,Joy_13
,ThrustMasterWarthogThrottle,Joy_13
,ThrustMasterWarthogThrottle,Joy_13
,ThrustMasterWarthogThrottle,Joy_13
,ThrustMasterWarthogThrottle,Joy_13
,ThrustMasterWarthogThrottle,Joy_14
,ThrustMasterWarthogThrottle,Joy_14
,ThrustMasterWarthogThrottle,Joy_14
,ThrustMasterWarthogThrottle,Joy_14
,ThrustMasterWarthogThrottle,Joy_14
UseBoostJuice,ThrustMasterWarthogThrottle,Joy_15
,ThrustMasterWarthogThrottle,Joy_15
AutoBreakBuggyButton,ThrustMasterWarthogThrottle,Joy_15
,ThrustMasterWarthogThrottle,Joy_15
,ThrustMasterWarthogThrottle,Joy_15
,ThrustMasterWarthogThrottle,Joy_16
,ThrustMasterWarthogThrottle,Joy_16
,ThrustMasterWarthogThrottle,Joy_16
,ThrustMasterWarthogThrottle,Joy_16
,ThrustMasterWarthogThrottle,Joy_16
ToggleButtonUpInput,ThrustMasterWarthogThrottle,Joy_17
,ThrustMasterWarthogThrottle,Joy_17
,ThrustMasterWarthogThrottle,Joy_17
,ThrustMasterWarthogThrottle,Joy_17
,ThrustMasterWarthogThrottle,Joy_17
,ThrustMasterWarthogThrottle,Joy_18
,ThrustMasterWarthogThrottle,Joy_18
,ThrustMasterWarthogThrottle,Joy_18
,ThrustMasterWarthogThrottle,Joy_18
,ThrustMasterWarthogThrottle,Joy_18
ExplorationFSSShowHelp,ThrustMasterWarthogThrottle,Joy_19
,ThrustMasterWarthogThrottle,Joy_19
,ThrustMasterWarthogThrottle,Joy_19
,ThrustMasterWarthogThrottle,Joy_19
,ThrustMasterWarthogThrottle,Joy_19
VerticalThrustersButton,ThrustMasterWarthogThrottle,Joy_2
,ThrustMasterWarthogThrottle,Joy_2
,ThrustMasterWarthogThrottle,Joy_2
,ThrustMasterWarthogThrottle,Joy_2
,ThrustMasterWarthogThrottle,Joy_2
,ThrustMasterWarthogThrottle,Joy_20
,ThrustMasterWarthogThrottle,Joy_20
,ThrustMasterWarthogThrottle,Joy_20
,ThrustMasterWarthogThrottle,Joy_20
,ThrustMasterWarthogThrottle,Joy_20
DeployHardpointToggle,ThrustMasterWarthogThrottle,Joy_21
,ThrustMasterWarthogThrottle,Joy_21
ToggleBuggyTurretButton,ThrustMasterWarthogThrottle,Joy_21
,ThrustMasterWarthogThrottle,Joy_21
,ThrustMasterWarthogThrottle,Joy_21
ToggleCargoScoop,ThrustMasterWarthogThrottle,Joy_24
,ThrustMasterWarthogThrottle,Joy_24
ToggleCargoScoop_Buggy,ThrustMasterWarthogThrottle,Joy_24
,ThrustMasterWarthogThrottle,Joy_24
,ThrustMasterWarthogThrottle,Joy_24
LandingGearToggle,ThrustMasterWarthogThrottle,Joy_25
,ThrustMasterWarthogThrottle,Joy_25
,ThrustMasterWarthogThrottle,Joy_25
,ThrustMasterWarthogThrottle,Joy_25
,ThrustMasterWarthogThrottle,Joy_25
HyperSuperCombination,ThrustMasterWarthogThrottle,Joy_26
,ThrustMasterWarthogThrottle,Joy_26
,ThrustMasterWarthogThrottle,Joy_26
,ThrustMasterWarthogThrottle,Joy_26
,ThrustMasterWarthogThrottle,Joy_26
UseShieldCell,ThrustMasterWarthogThrottle,Joy_27
,ThrustMasterWarthogThrottle,Joy_27
HeadlightsBuggyButton,ThrustMasterWarthogThrottle,Joy_27
,ThrustMasterWarthogThrottle,Joy_27
,ThrustMasterWarthogThrottle,Joy_27
FireChaffLauncher,ThrustMasterWarthogThrottle,Joy_28
,ThrustMasterWarthogThrottle,Joy_28
,ThrustMasterWarthogThrottle,Joy_28
,ThrustMasterWarthogThrottle,Joy_28
,ThrustMasterWarthogThrottle,Joy_28
,ThrustMasterWarthogThrottle,Joy_29
,ThrustMasterWarthogThrottle,Joy_29
,ThrustMasterWarthogThrottle,Joy_29
,ThrustMasterWarthogThrottle,Joy_29
,ThrustMasterWarthogThrottle,Joy_29
CycleFireGroupPrevious,ThrustMasterWarthogThrottle,Joy_3
,ThrustMasterWarthogThrottle,Joy_3
BuggyCycleFireGroupPrevious,ThrustMasterWarthogThrottle,Joy_3
,ThrustMasterWarthogThrottle,Joy_3
,ThrustMasterWarthogThrottle,Joy_3
,ThrustMasterWarthogThrottle,Joy_30
,ThrustMasterWarthogThrottle,Joy_30
,ThrustMasterWarthogThrottle,Joy_30
,ThrustMasterWarthogThrottle,Joy_30
,ThrustMasterWarthogThrottle,Joy_30
PlayerHUDModeToggle,ThrustMasterWarthogThrottle,Joy_31
,ThrustMasterWarthogThrottle,Joy_31
PlayerHUDModeToggle_Buggy,ThrustMasterWarthogThrottle,Joy_31
,ThrustMasterWarthogThrottle,Joy_31
,ThrustMasterWarthogThrottle,Joy_31
DeployHeatSink,ThrustMasterWarthogThrottle,Joy_32
,ThrustMasterWarthogThrottle,Joy_32
,ThrustMasterWarthogThrottle,Joy_32
,ThrustMasterWarthogThrottle,Joy_32
,ThrustMasterWarthogThrottle,Joy_32
CycleNextPanel,ThrustMasterWarthogThrottle,Joy_4
,ThrustMasterWarthogThrottle,Joy_4
,ThrustMasterWarthogThrottle,Joy_4
,ThrustMasterWarthogThrottle,Joy_4
,ThrustMasterWarthogThrottle,Joy_4
CycleFireGroupNext,ThrustMasterWarthogThrottle,Joy_5
,ThrustMasterWarthogThrottle,Joy_5
BuggyCycleFireGroupNext,ThrustMasterWarthogThrottle,Joy_5
,ThrustMasterWarthogThrottle,Joy_5
,ThrustMasterWarthogThrottle,Joy_5
CyclePreviousPanel,ThrustMasterWarthogThrottle,Joy_6
,ThrustMasterWarthogThrottle,Joy_6
,ThrustMasterWarthogThrottle,Joy_6
,ThrustMasterWarthogThrottle,Joy_6
,ThrustMasterWarthogThrottle,Joy_6
ToggleReverseThrottleInput,ThrustMasterWarthogThrottle,Joy_7
ToggleReverseThrottleInputFreeCam,ThrustMasterWarthogThrottle,Joy_7
,ThrustMasterWarthogThrottle,Joy_7
,ThrustMasterWarthogThrottle,Joy_7
,ThrustMasterWarthogThrottle,Joy_7
BackwardThrustButton,ThrustMasterWarthogThrottle,Joy_8
,ThrustMasterWarthogThrottle,Joy_8
BuggyToggleReverseThrottleInput,ThrustMasterWarthogThrottle,Joy_8
,ThrustMasterWarthogThrottle,Joy_8
,ThrustMasterWarthogThrottle,Joy_8
,ThrustMasterWarthogThrottle,Joy_9
,ThrustMasterWarthogThrottle,Joy_9
,ThrustMasterWarthogThrottle,Joy_9
,ThrustMasterWarthogThrottle,Joy_9
,ThrustMasterWarthogThrottle,Joy_9
,ThrustMasterWarthogThrottle,Joy_10
,ThrustMasterWarthogThrottle,Joy_10
,ThrustMasterWarthogThrottle,Joy_10
,ThrustMasterWarthogThrottle,Joy_10
,ThrustMasterWarthogThrottle,Joy_10
DownThrustButton,ThrustMasterWarthogThrottle,Joy_POV1Down
,ThrustMasterWarthogThrottle,Joy_POV1Down
,ThrustMasterWarthogThrottle,Joy_POV1Down
,ThrustMasterWarthogThrottle,Joy_POV1Down
,ThrustMasterWarthogThrottle,Joy_POV1Down
LeftThrustButton,ThrustMasterWarthogThrottle,Joy_POV1Left
,ThrustMasterWarthogThrottle,Joy_POV1Left
,ThrustMasterWarthogThrottle,Joy_POV1Left
,ThrustMasterWarthogThrottle,Joy_POV1Left
,ThrustMasterWarthogThrottle,Joy_POV1Left
RightThrustButton,ThrustMasterWarthogThrottle,Joy_POV1Right
,ThrustMasterWarthogThrottle,Joy_POV1Right
,ThrustMasterWarthogThrottle,Joy_POV1Right
,ThrustMasterWarthogThrottle,Joy_POV1Right
,ThrustMasterWarthogThrottle,Joy_POV1Right
UpThrustButton,ThrustMasterWarthogThrottle,Joy_POV1Up
,ThrustMasterWarthogThrottle,Joy_POV1Up
,ThrustMasterWarthogThrottle,Joy_POV1Up
,ThrustMasterWarthogThrottle,Joy_POV1Up
,ThrustMasterWarthogThrottle,Joy_POV1Up
DriveSpeedAxis,ThrustMasterWarthogThrottle,Joy_RZAxis
,ThrustMasterWarthogThrottle,Joy_RZAxis
,ThrustMasterWarthogThrottle,Joy_RZAxis
,ThrustMasterWarthogThrottle,Joy_RZAxis
,ThrustMasterWarthogThrottle,Joy_RZAxis
RadarRangeAxis,ThrustMasterWarthogThrottle,Joy_UAxis
ExplorationFSSRadioTuningX_Raw,ThrustMasterWarthogThrottle,Joy_UAxis
,ThrustMasterWarthogThrottle,Joy_UAxis
,ThrustMasterWarthogThrottle,Joy_UAxis
,ThrustMasterWarthogThrottle,Joy_UAxis
HeadLookYawAxis,ThrustMasterWarthogThrottle,Joy_XAxis
CommanderCreator_Rotation,ThrustMasterWarthogThrottle,Joy_XAxis
,ThrustMasterWarthogThrottle,Joy_XAxis
,ThrustMasterWarthogThrottle,Joy_XAxis
,ThrustMasterWarthogThrottle,Joy_XAxis
HeadLookPitchAxisRaw,ThrustMasterWarthogThrottle,Joy_YAxis
,ThrustMasterWarthogThrottle,Joy_YAxis
,ThrustMasterWarthogThrottle,Joy_YAxis
,ThrustMasterWarthogThrottle,Joy_YAxis
,ThrustMasterWarthogThrottle,Joy_YAxis
ThrottleAxis,ThrustMasterWarthogThrottle,Joy_ZAxis
,ThrustMasterWarthogThrottle,Joy_ZAxis
,ThrustMasterWarthogThrottle,Joy_ZAxis
,ThrustMasterWarthogThrottle,Joy_ZAxis
,ThrustMasterWarthogThrottle,Joy_ZAxis
